"統計名：","都道府県データ 基礎データ"
"表番号：","0000010104"
"表題：","Ｄ　行政基盤"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","","/Ｄ　行政基盤 コード","D2101","D2102","D2103","D3101","D310101","D310103","D310108","D3102","D3103","D310303","D3103032","D3103033","D310304","D310308","D310311","D310313","D310401","D3105"
"","","","","","","/Ｄ　行政基盤 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"調査年 コード","調査年 補助コード","調査年","地域 コード","地域 補助コード","地域","/Ｄ　行政基盤","D2101_財政力指数（都道府県財政）【‐】","D2102_実質収支比率（都道府県財政）【％】","D2103_経常収支比率（都道府県財政）【％】","D3101_歳入決算総額（都道府県財政）【千円】","D310101_地方税（都道府県財政）【千円】","D310103_地方交付税（都道府県財政）【千円】","D310108_国庫支出金（都道府県財政）【千円】","D3102_自主財源額（都道府県財政）【千円】","D3103_歳出決算総額（都道府県財政）【千円】","D310303_民生費（都道府県財政）【千円】","D3103032_老人福祉費（都道府県財政）【千円】","D3103033_児童福祉費（都道府県財政）【千円】","D310304_衛生費（都道府県財政）【千円】","D310308_土木費（都道府県財政）【千円】","D310311_教育費（都道府県財政）【千円】","D310313_公債費（都道府県財政）（目的別歳出内訳）【千円】","D310401_人件費（都道府県財政）【千円】","D3105_地方債現在高（都道府県財政）【千円】"
"2017100000","","2017年度","00000","","全国","","0.51602","1.5","95.2","50,889,503,989","20,542,834,702","8,659,263,806","6,043,818,056","28,598,662,220","49,448,460,158","8,072,565,948","3,200,052,133","1,725,737,878","1,677,335,775","5,476,259,925","9,979,316,054","7,081,041,338","12,593,615,182","87,970,015,477"
"2017100000","","2017年度","01000","","北海道","","0.44558","0.4","98.3","2,437,925,058","695,812,140","625,650,156","383,507,213","984,345,214","2,427,419,344","373,797,272","154,315,891","56,446,831","69,244,418","291,334,764","456,335,365","411,628,746","567,207,744","5,805,084,481"
"2017100000","","2017年度","02000","","青森県","","0.34638","0.6","96.3","692,129,270","167,954,955","222,957,678","109,251,797","274,366,416","670,924,221","104,888,564","41,304,595","22,952,283","20,255,673","80,857,972","146,860,862","121,326,625","163,934,929","1,152,368,301"
"2017100000","","2017年度","03000","","岩手県","","0.36241","6.1","97.6","1,074,872,987","155,951,549","289,831,061","198,706,991","487,270,947","986,984,123","98,202,326","36,603,393","23,667,001","59,293,394","176,413,303","147,767,172","120,674,584","176,378,430","1,368,749,880"
"2017100000","","2017年度","04000","","宮城県","","0.62784","3.2","97.2","1,301,708,423","335,182,778","202,104,446","290,129,515","691,511,072","1,184,973,408","141,252,841","53,927,289","30,843,841","41,600,107","135,783,779","176,633,741","109,730,409","213,026,980","1,551,049,948"
"2017100000","","2017年度","05000","","秋田県","","0.31526","1.5","92.3","600,781,473","113,824,612","197,334,530","77,436,204","233,342,853","590,985,233","80,401,433","35,574,349","15,369,126","15,832,538","64,482,433","108,228,805","97,047,736","138,368,016","1,260,289,306"
"2017100000","","2017年度","06000","","山形県","","0.36099","1.4","95.0","578,426,667","131,492,453","180,221,897","70,528,365","231,967,720","569,506,636","77,031,721","33,740,137","18,316,542","29,659,707","65,271,279","117,352,463","95,160,335","155,686,835","1,162,625,994"
"2017100000","","2017年度","07000","","福島県","","0.54542","1.5","96.6","1,563,862,818","270,982,365","273,166,096","393,552,645","757,220,804","1,495,793,305","375,824,623","51,905,650","30,958,612","76,819,992","225,459,192","227,294,203","110,332,714","254,607,530","1,438,644,933"
"2017100000","","2017年度","08000","","茨城県","","0.64490","1.1","93.5","1,055,682,801","411,107,290","193,376,664","131,188,041","565,534,917","1,029,034,715","171,141,404","67,547,805","37,627,899","31,041,252","123,840,378","279,687,798","145,686,205","320,521,568","2,181,111,963"
"2017100000","","2017年度","09000","","栃木県","","0.65138","1.5","95.7","755,740,379","289,130,264","121,949,632","85,825,797","424,035,406","741,534,409","114,851,879","42,459,344","31,359,890","31,550,673","78,200,112","179,528,407","102,804,382","220,721,780","1,097,777,899"
"2017100000","","2017年度","10000","","群馬県","","0.64895","0.9","96.6","736,480,225","275,828,373","118,986,335","87,623,052","375,375,050","727,342,685","127,244,372","49,969,111","33,724,586","20,976,690","91,283,007","182,053,898","106,346,854","221,891,529","1,230,421,595"
"2017100000","","2017年度","11000","","埼玉県","","0.76610","0.4","96.8","1,753,196,941","895,524,715","204,551,448","162,501,577","1,029,511,374","1,743,622,960","352,221,878","144,050,679","72,157,348","60,093,290","121,124,376","486,527,453","277,958,807","567,941,092","3,843,782,671"
"2017100000","","2017年度","12000","","千葉県","","0.77878","1.5","96.3","1,698,938,900","820,359,033","176,305,294","169,614,143","1,083,907,568","1,673,096,766","295,166,069","122,832,170","58,117,641","69,209,729","108,185,075","418,400,001","210,961,810","534,161,166","3,089,149,308"
"2017100000","","2017年度","13000","","東京都","","1.16225","8.4","82.2","7,304,356,500","5,289,244,641","0","389,681,168","6,524,662,986","6,827,470,963","967,374,190","319,704,469","296,573,591","219,526,579","845,592,218","1,014,601,318","557,091,831","1,496,616,601","4,305,024,299"
