"統計名：","都道府県データ 基礎データ"
"表番号：","0000010106"
"表題：","Ｆ　労働"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","","/Ｆ　労働 コード","F1201","F120101","F120102","F1202","F120201","F120202","F1203","F1204","F1205","F120501","F120502","F1206","F1207","F1208","F2501","F250101","F250102","F2502","F2503","F3101","F3102","F3103","F310301","F3104","F3105","F3106","F310603","F3107","F3108","F3201","F3202","F3211","F3212","F3221","F3222","F3230","F3240","F3241","F3242","F3301","F3302","F3311","F3312","F3321","F3322","F340101","F340102","F340103","F340201","F340202","F340203","F341101","F341102","F341103","F341201","F341202","F341203","F341204","F341205","F341206","F3502","F35021","F350210","F350220","F350221","F4101","F4102","F4103","F4104","F4105","F4106","F4107","F4108","F4201","F4202","F420211","F4203","F4204","F4205","F610101","F610102","F610201","F610202","F610203","F610204","F610205","F610206","F620101","F620102","F620201","F620202","F620215","F620216","F620217","F620218","F6204","F6205","F6206","F6207","F6301","F6302","F6303","F6401","F6402","F6403","F6404","F6407","F6408","F6409","F6410","F6411","F6412","F6501","F8101","F8102","F9101","F9102","F9201","F9202","F9203"
"","","","","","","/Ｆ　労働 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"調査年 コード","調査年 補助コード","調査年","地域 コード","地域 補助コード","地域","/Ｆ　労働","F1201_15歳以上人口（就業構造基本調査結果）【千人】","F120101_15歳以上人口（男）（就業構造基本調査結果）【千人】","F120102_15歳以上人口（女）（就業構造基本調査結果）【千人】","F1202_有業者数【千人】","F120201_有業者数（男）【千人】","F120202_有業者数（女）【千人】","F1203_有業者数・仕事が主な者【千人】","F1204_有業者数・仕事は従な者【千人】","F1205_無業者数【千人】","F120501_無業者数（男）【千人】","F120502_無業者数（女）【千人】","F1206_無業者数・家事をしている者【千人】","F1207_無業者数・通学している者【千人】","F1208_無業者数・その他【千人】","F2501_雇用者数（就業構造基本調査）【千人】","F250101_雇用者数（男）（就業構造基本調査）【千人】","F250102_雇用者数（女）（就業構造基本調査）【千人】","F2502_自営業主数【千人】","F2503_家族従業者数（就業構造基本調査結果）【千人】","F3101_新規求職申込件数（一般）【件】","F3102_月間有効求職者数（一般）（年度計）【人】","F3103_月間有効求人数（一般）（年度計）【人】","F310301_有効求人倍率【倍】","F3104_充足数（一般）【件】","F3105_就職件数（一般）（年度計）【件】","F3106_県内就職件数（一般）（年度計）【件】","F310603_他県への就職件数（一般）【件】","F3107_労働者数（一般）（〜2019）【１０人】","F3108_労働者数（一般）【１０人】","F3201_パートタイム新規求職申込件数（常用）【件】","F3202_パートタイム新規求職申込件数（臨時）【件】","F3211_パートタイム月間有効求職者数（常用）（年度計）【人】","F3212_パートタイム月間有効求職者数（臨時）（年度計）【人】","F3221_パートタイム就職件数（常用）【件】","F3222_パートタイム就職件数（臨時）【件】","F3230_女性パートタイム労働者数（〜2019）【１０人】","F3240_男性パートタイム労働者数（〜2019）【１０人】","F3241_女性パートタイム労働者数【１０人】","F3242_男性パートタイム労働者数【１０人】","F3301_新規学卒者求職者数（中学）【人】","F3302_新規学卒者求職者数（高校）【人】","F3311_新規学卒者求人数（中学）【人】","F3312_新規学卒者求人数（高校）【人】","F3321_新規学卒者就職者数（中学）【人】","F3322_新規学卒者就職者数（高校）【人】","F340101_中高年齢者新規求職申込件数（45歳以上）【件】","F340102_中高年齢者新規求職申込件数（55歳以上）【件】","F340103_中高年齢者新規求職申込件数（65歳以上）【件】","F340201_中高年齢者有効求職者数（45歳以上）（月平均）【人】","F340202_中高年齢者有効求職者数（55歳以上）（月平均）【人】","F340203_中高年齢者有効求職者数（65歳以上）（月平均）【人】","F341101_中高年齢者就職件数（45歳以上）【件】","F341102_中高年齢者就職件数（55歳以上）【件】","F341103_中高年齢者就職件数（65歳以上）【件】","F341201_一般労働者数（45歳以上）（企業規模10人以上の事業所）（〜2019）【１０人】","F341202_一般労働者数（55歳以上）（企業規模10人以上の事業所）（〜2019）【１０人】","F341203_一般労働者数（65歳以上）（企業規模10人以上の事業所）（〜2019）【１０人】","F341204_一般労働者数（45歳以上）（企業規模10人以上の事業所）【１０人】","F341205_一般労働者数（55歳以上）（企業規模10人以上の事業所）【１０人】","F341206_一般労働者数（65歳以上）（企業規模10人以上の事業所）【１０人】","F3502_障害者就職件数【件】","F35021_障害者就職率【％】","F350210_身体障害者就職件数【件】","F350220_知的障害者等就職件数【件】","F350221_知的障害者就職件数【件】","F4101_継続就業希望者数【千人】","F4102_追加就業希望者数【千人】","F4103_追加就業希望者数（求職者）【千人】","F4104_転職希望者数【千人】","F4105_転職希望者数（求職者）【千人】","F4106_就業休止希望者数【千人】","F4107_就業希望者数【千人】","F4108_非就業希望者数【千人】","F4201_継続就業者数【千人】","F4202_転職者数【千人】","F420211_転職者比率【％】","F4203_離職者数【千人】","F4204_新規就業者数【千人】","F4205_継続非就業者数【千人】","F610101_所定内実労働時間数（男）（〜2019）【時間】","F610102_所定内実労働時間数（女）（〜2019）【時間】","F610201_超過実労働時間数（男）（〜2019）【時間】","F610202_超過実労働時間数（女）（〜2019）【時間】","F610203_所定内実労働時間数（男）【時間】","F610204_所定内実労働時間数（女）【時間】","F610205_超過実労働時間数（男）【時間】","F610206_超過実労働時間数（女）【時間】","F620101_きまって支給する現金給与額（男）（〜2019）【千円】","F620102_きまって支給する現金給与額（女）（〜2019）【千円】","F620201_所定内給与額（男）（〜2019）【千円】","F620202_所定内給与額（女）（〜2019）【千円】","F620215_きまって支給する現金給与額（男）【千円】","F620216_きまって支給する現金給与額（女）【千円】","F620217_所定内給与額（男）【千円】","F620218_所定内給与額（女）【千円】","F6204_女性パートタイムの給与（〜2019）【円】","F6205_男性パートタイムの給与（〜2019）【円】","F6206_女性パートタイムの給与【円】","F6207_男性パートタイムの給与【円】","F6301_労働日数【日】","F6302_労働日数（男）【日】","F6303_労働日数（女）【日】","F6401_新規学卒者初任給（高校）（男）【千円】","F6402_新規学卒者初任給（高校）（女）【千円】","F6403_新規学卒者初任給（大学）（男）【千円】","F6404_新規学卒者初任給（高専・短大）（女）【千円】","F6407_新規学卒者所定内給与額（高校）（男）【千円】","F6408_新規学卒者所定内給与額（高校）（女）【千円】","F6409_新規学卒者所定内給与額（高専・短大）（男）【千円】","F6410_新規学卒者所定内給与額（高専・短大）（女）【千円】","F6411_新規学卒者所定内給与額（大学）（男）【千円】","F6412_新規学卒者所定内給与額（大学）（女）【千円】","F6501_地域別最低賃金【円】","F8101_労働災害度数率【‐】","F8102_労働災害強度率【‐】","F9101_労働組合数【‐】","F9102_労働組合員数【人】","F9201_労働争議件数【件】","F9202_争議行為参加人員【人】","F9203_労働損失日数【日】"
"2017100000","","2017年度","00000","","全国","","110,977","53,543","57,434","66,213","37,074","29,139","54,458","11,732","44,764","16,469","28,295","20,561","6,488","17,683","59,208","32,536","26,672","5,617","1,221","3,414,170","13,996,453","19,667,524","1.54","1,027,076","1,026,611","891,483","***","2,272,196","***","1,633,669","13,028","7,206,077","45,806","589,157","98,815","555,073","203,978","***","***","650","171,209","1,891","432,645","584","170,635","1,332,942","650,033","171,034","477,051","234,976","51,591","381,459","159,710","25,932","975,566","410,337","65,301","***","***","***","97,814","***","26,756","71,058","20,987","51,732","4,244","1,460","6,718","2,812","2,674","8,623","35,551","57,781","3,316","5.0","2,556","3,749","41,427","166","163","16","8","***","***","***","***","371.3","263.6","335.5","246.1","***","***","***","***","1,074","1,154","***","***","18.5","19.4","17.5","164.2","158.4","207.8","178.4","***","***","***","***","***","***","848","1.66","0.09","51,325","9,915,574","330","1,866","2,332"
"2017100000","","2017年度","01000","","北海道","","4,717","2,191","2,526","2,613","1,433","1,179","2,133","479","2,104","758","1,346","957","248","898","2,339","1,265","1,074","202","66","211,045","772,601","856,866","1.14","47,555","48,178","46,307","***","99,245","***","69,025","170","322,184","638","19,305","3,069","24,909","9,396","***","***","2","7,581","13","18,046","2","7,533","102,188","60,669","25,035","29,876","16,756","5,503","18,846","8,005","1,370","45,120","21,231","4,383","***","***","***","4,660","***","1,219","3,441","1,015","2,048","139","42","280","107","115","387","1,664","2,285","127","4.9","123","146","1,918","169","163","14","7","***","***","***","***","320.2","236.0","293.1","222.0","***","***","***","***","995","1,051","***","***","19.5","20.2","18.7","154.6","153.7","195.6","167.5","***","***","***","***","***","***","810","2.80","0.13","3,113","323,424","10","0","0"
"2017100000","","2017年度","02000","","青森県","","1,134","525","609","649","350","299","564","85","485","175","310","205","61","219","543","288","255","73","31","58,225","203,753","227,618","1.27","18,233","19,476","17,609","***","19,746","***","20,088","149","84,484","433","9,679","2,041","3,709","1,250","***","***","4","3,288","1","5,087","4","3,287","26,176","14,937","4,978","7,640","4,249","1,200","6,899","2,912","460","9,111","4,118","567","***","***","***","1,208","***","304","904","258","517","29","10","66","26","30","79","399","588","24","3.7","23","29","452","168","166","14","7","***","***","***","***","290.9","209.9","263.2","199.3","***","***","***","***","889","1,139","***","***","20.4","21.1","19.6","148.8","143.9","186.5","160.1","***","***","***","***","***","***","738","1.08","0.04","550","51,469","3","0","0"
"2017100000","","2017年度","03000","","岩手県","","1,110","530","580","655","364","290","573","81","456","165","290","196","62","197","559","306","254","70","25","48,998","175,221","236,325","1.42","19,552","20,647","18,480","***","24,383","***","19,174","182","76,414","519","8,734","1,718","4,490","1,410","***","***","4","3,004","7","5,699","4","3,003","20,021","10,339","2,727","6,325","3,317","732","7,848","3,626","650","11,185","5,502","815","***","***","***","1,214","***","300","914","206","510","32","9","74","28","31","76","377","586","31","4.7","25","27","425","169","165","16","9","***","***","***","***","290.4","212.4","260.2","198.6","***","***","***","***","920","982","***","***","20.2","20.6","19.7","148.1","144.0","196.1","158.0","***","***","***","***","***","***","738","1.59","0.15","744","76,506","0","0","0"
"2017100000","","2017年度","04000","","宮城県","","2,040","989","1,051","1,207","685","522","1,031","176","833","304","528","375","124","333","1,099","611","488","91","16","75,721","298,893","482,818","1.62","24,328","24,059","21,303","***","37,860","***","31,509","163","135,520","664","11,091","2,308","7,029","2,524","***","***","5","4,100","20","11,002","5","4,084","27,520","13,561","3,361","9,589","4,740","940","8,683","3,936","682","16,304","7,388","1,169","***","***","***","1,717","***","477","1,240","397","937","73","23","138","58","49","159","671","1,060","62","5.1","47","65","780","166","164","15","9","***","***","***","***","345.1","241.8","313.5","225.9","***","***","***","***","998","1,053","***","***","18.8","19.3","18.1","157.5","149.2","205.1","165.4","***","***","***","***","***","***","772","1.85","0.05","1,077","143,637","3","7","0"
"2017100000","","2017年度","05000","","秋田県","","894","415","479","500","277","223","436","64","394","139","256","180","43","171","429","230","199","56","14","38,605","138,191","172,879","1.41","14,866","15,517","14,396","***","18,932","***","15,059","106","63,584","408","6,972","1,800","3,918","1,078","***","***","0","2,239","0","4,295","0","2,239","16,400","9,295","2,737","5,158","2,972","699","5,576","2,492","313","9,035","4,319","583","***","***","***","758","***","250","508","149","398","25","8","52","21","23","54","336","455","20","4.0","19","20","370","169","167","14","6","***","***","***","***","291.5","219.1","264.1","207.3","***","***","***","***","943","966","***","***","20.1","20.7","19.5","147.9","140.5","203.7","148.0","***","***","***","***","***","***","738","1.35","0.03","520","69,089","0","0","0"
"2017100000","","2017年度","06000","","山形県","","970","462","508","580","318","262","510","69","391","145","246","161","53","176","489","262","228","65","24","42,401","145,294","208,872","1.59","16,592","17,046","15,902","***","21,339","***","15,652","152","60,613","400","7,006","1,549","3,703","1,356","***","***","2","2,744","2","5,711","2","2,741","15,369","7,901","1,893","4,732","2,497","461","5,540","2,382","316","9,527","4,353","532","***","***","***","908","***","314","594","171","460","28","8","58","21","25","57","331","523","24","4.1","20","22","367","170","166","16","8","***","***","***","***","302.2","220.3","272.4","206.2","***","***","***","***","918","1,002","***","***","19.7","20.4","19.1","153.8","145.1","189.6","162.3","***","***","***","***","***","***","739","1.25","0.03","633","72,890","3","0","0"
"2017100000","","2017年度","07000","","福島県","","1,660","817","843","971","560","411","850","121","689","257","432","294","92","302","842","481","362","95","32","69,578","249,558","361,302","1.47","24,872","25,913","23,350","***","36,847","***","24,209","126","99,290","398","8,631","1,750","6,259","2,244","***","***","3","4,595","4","9,344","3","4,591","27,018","14,592","3,441","8,614","4,684","855","9,259","4,312","704","16,351","7,855","1,224","***","***","***","1,367","***","474","893","233","775","49","15","96","35","41","114","570","866","43","4.4","37","46","643","168","166","16","9","***","***","***","***","324.6","229.9","289.6","213.4","***","***","***","***","962","1,110","***","***","19.6","20.1","19.0","158.1","150.2","194.7","162.5","***","***","***","***","***","***","748","1.65","0.09","849","113,322","0","0","0"
